"subj_idx","sex","age","edu","block_id","block_type","trial_id","trial_type_num","label_en","shape_en","valence","match","correctRp","response","rt","acc"
"v010001","male",27,"硕士",2,"test",12,9,"good","square","good","match","n","n","695.2000000000698","1"
"v010001","male",27,"硕士",2,"test",1,10,"bad","circular","bad","match","n","n","655.9000000015367","1"
"v010001","male",27,"硕士",2,"test",2,10,"bad","triangle","ordinary","mismatch","m","n","590.8999999992084","0"
"v010001","male",27,"硕士",2,"test",3,10,"bad","square","good","mismatch","m","m","845.699999999837","1"
"v010001","male",27,"硕士",2,"test",4,10,"ordinary","triangle","ordinary","match","n","n","769.2000000006519","1"
"v010001","male",27,"硕士",2,"test",5,10,"ordinary","circular","bad","mismatch","m","n","750.0999999992782","0"
"v010001","male",27,"硕士",2,"test",6,10,"bad","circular","bad","match","n","n","862.7000000015832","1"
"v010001","male",27,"硕士",2,"test",7,10,"ordinary","square","good","mismatch","m","m","691.5000000008149","1"
"v010001","male",27,"硕士",2,"test",8,10,"good","circular","bad","mismatch","m","m","937.9999999982538","1"
"v010001","male",27,"硕士",2,"test",9,10,"ordinary","triangle","ordinary","match","n","n","1093.6999999993714","1"
"v010001","male",27,"硕士",2,"test",10,10,"good","square","good","match","n","n","706.7999999999302","1"
"v010001","male",27,"硕士",2,"test",11,10,"good","triangle","ordinary","mismatch","m","NA","null","0"
"v010001","male",27,"硕士",2,"test",12,10,"good","square","good","match","n","n","764.4999999993015","1"
"v010001","male",27,"硕士",2,"test",1,11,"bad","circular","bad","match","n","m","1109.499999998603","0"
"v010001","male",27,"硕士",2,"test",2,11,"ordinary","circular","bad","mismatch","m","m","1067.0000000009313","1"
"v010001","male",27,"硕士",2,"test",3,11,"good","circular","bad","mismatch","m","m","891.2999999993481","1"
"v010001","male",27,"硕士",2,"test",4,11,"ordinary","square","good","mismatch","m","m","991.3999999989755","1"
"v010001","male",27,"硕士",2,"test",5,11,"good","square","good","match","n","n","519.6999999989057","1"
"v010001","male",27,"硕士",2,"test",6,11,"bad","triangle","ordinary","mismatch","m","m","723.7999999996973","1"
"v010001","male",27,"硕士",2,"test",7,11,"ordinary","triangle","ordinary","match","n","n","746.3000000006286","1"
"v010001","male",27,"硕士",2,"test",8,11,"good","square","good","match","n","n","969.299999998766","1"
"v010001","male",27,"硕士",2,"test",9,11,"ordinary","triangle","ordinary","match","n","m","777.0999999993946","0"
"v010001","male",27,"硕士",2,"test",10,11,"good","triangle","ordinary","mismatch","m","m","1140.9000000002561","1"
"v010001","male",27,"硕士",2,"test",11,11,"bad","circular","bad","match","n","m","978.4000000000233","0"
"v010001","male",27,"硕士",2,"test",12,11,"bad","square","good","mismatch","m","m","890.4000000001397","1"
"v010001","male",27,"硕士",2,"test",1,12,"good","square","good","match","n","m","902.0999999992782","0"
"v010001","male",27,"硕士",2,"test",2,12,"bad","square","good","mismatch","m","n","807.0000000006985","0"
